#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds key."
,ttf-inconsolata,"is the monospace font of LARBS."
A,powerline-fonts-git,"is the monospace font of JARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for JARBS."
,awesome-terminal-fonts,"provides fonts/icons for powerlines"
A,powerline-fonts-git,"provides fonts/icons for powerlines for X11 and the console"
,ttf-font-awesome," - the iconic font designed for bootstrap"
,ranger,"is a terminal file manager that everyone likes."
,ed,"is the standard editor!"
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
A,compton-tryone-git,"is for transparency and removing screen-tearing (patch including kawase blur)."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-numix-solarized,"gives the solarized GTK theme used in JARBS."
,gvim,"a graphical and terminal vim with some useful features"
,i3status,"is the status bar."
,i3lock,"is the screen lock."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,chromium,"graphical webbrowser."
,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,scrot,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,poppler-data,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,poppler-glib,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
,rxvt-unicode,"is the best terminal emulator"
,rxvt-unicode-terminfo,"is an extension for the best terminal emulator"
,urxvt-perls,"is an extension for the best terminal emulator"
A,urxvt-resize-font-git,"is an extension for the best terminal emulator"
,zsh,"is used as shell."
,zsh-syntax-highlighting,"provides syntax highlighting for the shell."
,zsh-completions,"completions for the shell"
,archey3,"shows beautified system info in a terminal window."
,audacity,"provides functionality to edit audio."
,gimp,"is the gnu image manipulation tool."
,bluez-utils,"provides a console frontend for bluetooth."
,bzip2,"is used for (de)compressing bz2 archives."
,abcde,"is a command line tool for ripping audio cd."
,cdrtools,"is a command line tool supporting CD,DVD and BR burning."
,ghostscript,"is an interpreter for the PostScript language"
,gptfdisk,"provides a tool for partition management"
A,gtk-theme-numix-solarized,"provides solarized theme for gtk applications"
,gutenprint,"provides printer drivers"
,gzip,""
A,i3-battery-popup-git,"shows user notification when battery is almost empty"
,inetutils,"is a collection of common network programs"
,iproute2,"provides IP Routing Utilities"
A,libxlsxwriter,"a library for writing xlsx"
,lrzip,""
,lxappearance,"is a feature-rich GTK theme switcher"
,network-manager-applet,"provides the symbol"
,networkmanager-openconnect,"provides VPN functionality"
,pandoc,"for conversion between markup formats"
,pavucontrol,"is a graphical pulse audio mixer"
,qutebrowser,"is a keyboard-driven, vim-like web-browser"
,rar,"provides rar and unrar"
,texlive-most,"is a software distribution for the TeX typesetting system"
A,tor-browser,""
A,vim-plug,"is a vim plugin manager"
,r,"is used as calculator"
A,urlview,"is a curses URL parser for text files"
,notmuch,"is used for indexing and searching mail"
,abook,"is a terminal-based adress book"
A,pam-gnupg-git,"unlocks GnuPG keys on login"
A,mutt-wizard-git,"is a wizard for configuring a ncurses email client"
